ФИО,Приказ,E-mail,Телефон,"Форма обучения","Баллы ЕГЭ",Статус,Курс
"Никифорова Олимпиада Якуновна","от 17.8.2016 № 2701-к",quys@land.ru,9003660180,внебюджет,156,Отчислен,2
"Кошелев Демьян Матвеевич","от 4.7.2016 № 2501-к",xjithionia@netbox.com,9515026781,бюджет,164,Зачислен,1
"Михайлова Маргарита Юлиановна","от 6.6.2017 № 2538-к",shiamy@inbox.ru,9538528175,бюджет,213,Переведён,4
"Меркушев Фёдор Никитевич","от 8.12.2016 № 2500-к",tesh@google.com,9634690112,внебюджет,165,Выпустился,5
"Васильев Лукьян Семёнович","от 23.2.2016 № 2538-к",xjichjehji@narod.ru,9036940529,бюджет,227,Выпустился,5
"Котов Варлам Романович","от 11.10.2016 № 2538-к",fyokiuchoo@rumail.ru,9085776701,внебюджет,211,Выпустился,5
"Воробьёв Михаил Игнатьевич","от 13.7.2017 № 2701-к",mesoth@hotbox.com,9853065391,бюджет,235,Зачислен,1
"Веселов Аристарх Валерьевич","от 30.1.2017 № 2701-к",dizju@nettaxi.com,9206407837,внебюджет,179,Переведён,4
"Соловьёва Галина Тихоновна","от 5.1.2016 № 2500-к",liaquyuchy@exn.ru,9126281317,внебюджет,233,Переведён,2
"Титова Алина Егоровна","от 9.6.2017 № 2701-к",vuch@email.ru,9151525210,бюджет,194,Отчислен,4
"Денисова Раиса Святославовна","от 19.9.2016 № 2701-к",quyotid@rin.ru,9531556244,бюджет,212,Переведён,4
"Казаков Юрий Егорович","от 8.12.2016 № 2701-к",jethoodjam@visto.com,9221384806,внебюджет,190,Переведён,3
"Смирнова Анжелика Пантелеймоновна","от 9.5.2016 № 2501-к",pooxuli@chat.ru,9112186056,внебюджет,243,Выпустился,5
"Силина Алла Мэлоровна","от 9.2.2016 № 2501-к",pjivjoquiash@hob.ru,9063813452,внебюджет,153,Отчислен,2
"Муравьёва Вера Евгеньевна","от 13.7.2016 № 2501-к",los@email.ru,9087527339,внебюджет,177,Выпустился,5
"Чернов Бронислав Авдеевич","от 1.12.2016 № 2500-к",myath@netbox.com,9133583252,внебюджет,183,Выпустился,5
"Дмитриев Георгий Созонович","от 30.1.2017 № 2701-к",tyax@adelite.com,9826474067,внебюджет,175,Зачислен,1
"Устинов Федот Германович","от 23.6.2017 № 2500-к",chiofou@mail.ru,9241738435,внебюджет,210,Отчислен,2
"Соколова Венера Егоровна","от 29.7.2017 № 2501-к",pjaschae@rol.ru,9174987435,бюджет,226,Зачислен,1
"Белозёрова Дарья Ильяовна","от 6.6.2017 № 2701-к",qujup@xaker.ru,9146547845,внебюджет,153,Выпустился,5
"Давыдов Антонин Фёдорович","от 9.2.2016 № 2500-к",shynju@newmail.ru,9824907080,внебюджет,174,Переведён,4
"Герасимов Пётр Тихонович","от 21.12.2017 № 2701-к",nouchjo@rambler.ru,9851684915,внебюджет,247,Переведён,3
"Нестеров Роман Христофорович","от 8.12.2016 № 2701-к",chaevji@smtp.ru,9299979828,бюджет,233,Зачислен,1
"Гаврилов Онисим Ярославович","от 6.2.2016 № 2501-к",zyischyibjo@email.ru,9504003414,внебюджет,236,Переведён,2
"Комаров Богдан Анатольевич","от 18.3.2016 № 2501-к",schexythee@netman.ru,9087353067,бюджет,223,Переведён,3
"Ермакова Алевтина Мартыновна","от 29.2.2017 № 2500-к",piasou_1992@mnogo.ru,9272798466,бюджет,221,Отчислен,2
"Кошелева Оксана Витальевна","от 23.2.2017 № 2500-к",jyop@usa.net,9235714726,внебюджет,175,Переведён,3
"Панова Галина Валентиновна","от 14.11.2016 № 2538-к",naciushec@narod.ru,9033143398,внебюджет,196,Отчислен,4
"Корнилова Евдокия Валентиновна","от 18.12.2017 № 2500-к",neexye@umr.ru,9661122347,внебюджет,200,Зачислен,1
"Антонова Алина Германовна","от 7.8.2017 № 2538-к",nechee@hob.ru,9641232612,бюджет,210,Выпустился,5
"Никонова Фёкла Степановна","от 6.3.2016 № 2500-к",kiop@rumail.ru,9165093948,внебюджет,220,Зачислен,1
"Владимиров Всеволод Николаевич","от 1.3.2017 № 2538-к",nyetheethjid@mnogo.ru,9167766159,внебюджет,203,Переведён,2
"Кириллова Марфа Леонидовна","от 27.7.2016 № 2538-к",fiohee@rumail.ru,9069250904,бюджет,246,Переведён,4
"Беляков Егор Донатович","от 12.10.2016 № 2501-к",baeschaschja@visto.com,9242845152,внебюджет,225,Выпустился,5
"Назаров Мстислав Якунович","от 7.11.2016 № 2500-к",shjofe@yandex.ru,9273871418,внебюджет,194,Зачислен,1
"Исаева Таисия Сергеевна","от 20.4.2016 № 2701-к",pyozoo@google.com,9003879918,бюджет,245,Отчислен,4
"Дорофеев Иван Геннадьевич","от 16.10.2016 № 2701-к",chojyeschyob@yahoo.com,9245184547,внебюджет,177,Переведён,3
"Беляков Александр Евгеньевич","от 24.10.2017 № 2500-к",thyofeelia@infobiz.com,9219884822,бюджет,215,Отчислен,2
"Ситникова Милица Лукьяновна","от 20.10.2016 № 2501-к",quioquetae@infobiz.com,9200156325,внебюджет,206,Зачислен,1
"Силин Владимир Матвеевич","от 16.12.2016 № 2501-к",nidyid@orc.ru,9041290112,внебюджет,248,Отчислен,3
"Маркова Эмилия Алексеевна","от 29.1.2017 № 2701-к",thjotje@hotbox.ru,9088733822,внебюджет,235,Переведён,2
"Королёва Екатерина Мстиславовна","от 13.4.2017 № 2501-к",piuc@aol.com,9283344909,бюджет,250,Выпустился,5
"Самсонов Леонид Юрьевич","от 11.12.2016 № 2501-к",rjeve@orc.ru,9635273872,внебюджет,212,Зачислен,1
"Овчинникова Нина Михаиловна","от 18.3.2017 № 2501-к",hjoxier@rumail.ru,9663467448,бюджет,239,Отчислен,4
"Фокин Олег Егорович","от 25.4.2016 № 2538-к",pjuthyi@softhome.com,9650301395,бюджет,243,Выпустился,5
"Стрелков Алексей Тихонович","от 13.7.2016 № 2701-к",meexakia@mnogo.ru,9509822266,бюджет,216,Выпустился,5
"Фокин Константин Улебович","от 16.10.2016 № 2500-к",jethyum@visto.com,9272697942,бюджет,214,Переведён,3
"Калинина Наина Георгьевна","от 6.4.2016 № 2701-к",ryamyzio@usa.net,9684197721,бюджет,185,Зачислен,1
"Ситникова Анастасия Максимовна","от 8.12.2017 № 2500-к",zhjitou@visto.com,9277676840,бюджет,186,Зачислен,1
"Фомина Акулина Валерьевна","от 27.9.2017 № 2701-к",tiufiojyom@rin.ru,9323037774,бюджет,161,Выпустился,5
"Лебедева Прасковья Матвеевна","от 3.2.2017 № 2501-к",vjazhyuj@chat.ru,9601840052,внебюджет,212,Переведён,2
"Комаров Борис Семёнович","от 23.4.2016 № 2538-к",jyoria@hotbox.com,9125665795,бюджет,211,Отчислен,2
"Шаров Павел Лаврентьевич","от 28.8.2016 № 2701-к",quiuthjetjo@smtp.ru,9284743066,бюджет,223,Переведён,2
"Дементьев Фрол Федосеевич","от 1.11.2017 № 2501-к",schykyepjos@narod.ru,9136068011,внебюджет,162,Выпустился,5
"Родионов Созон Онисимович","от 20.12.2017 № 2701-к",quyoj@hob.ru,9307521940,внебюджет,167,Отчислен,4
"Мясников Олег Валентинович","от 20.8.2016 № 2501-к",hichie@nihuja.net,9671031644,бюджет,190,Отчислен,4
"Носов Матвей Юрьевич","от 27.12.2017 № 2538-к",fyilyoce@umr.ru,9248688571,внебюджет,218,Выпустился,5
"Лапина Валерия Викторовна","от 22.2.2017 № 2501-к",dykaet@visto.com,9166744852,бюджет,206,Отчислен,3
"Кузьмин Парфений Вячеславович","от 7.6.2017 № 2501-к",zaesch@mail.ru,9121449427,бюджет,177,Зачислен,1
"Евдокимова Лариса Георгьевна","от 29.1.2017 № 2538-к",schepjoc@infobiz.com,9506751334,бюджет,217,Выпустился,5
"Красильникова Майя Мэлсовна","от 11.12.2017 № 2501-к",pjuquyu@narod.ru,9207937197,бюджет,216,Отчислен,2
"Копылова Светлана Валерьяновна","от 12.3.2016 № 2538-к",ziatyikju@netaddress.com,9206115460,бюджет,171,Зачислен,1
"Ширяева Екатерина Мстиславовна","от 15.12.2017 № 2500-к",ciusjoh@infobiz.com,9877270238,бюджет,210,Отчислен,2
"Русаков Тихон Максимович","от 4.12.2017 № 2500-к",choosool@visto.com,9872222373,бюджет,205,Зачислен,1
"Зыкова Полина Иринеевна","от 21.5.2016 № 2538-к",siaxie@hotbox.ru,9241132477,внебюджет,195,Зачислен,1
"Воронцова Людмила Гордеевна","от 8.7.2017 № 2500-к",nootie@yandex.ru,9841108578,внебюджет,212,Зачислен,1
"Гуляева Александра Борисовна","от 14.7.2016 № 2538-к",turieshji@exn.ru,9187693367,внебюджет,188,Отчислен,3
"Дементьев Егор Владимирович","от 5.5.2017 № 2701-к",schypyusch@orc.ru,9151884787,внебюджет,225,Переведён,3
"Соколов Ефим Антонинович","от 30.2.2016 № 2500-к",vjanjux@orc.ru,9289306921,внебюджет,208,Переведён,2
"Миронова Полина Германновна","от 30.11.2016 № 2701-к",soushyadyv@netman.ru,9118880179,бюджет,211,Зачислен,1
"Агафонова Кира Макаровна","от 4.6.2016 № 2538-к",leezeetho@smtp.ru,9829459509,внебюджет,150,Отчислен,2
"Давыдов Ириней Ярославович","от 4.11.2016 № 2501-к",ljubji@smtp.ru,9129191475,бюджет,185,Переведён,3
"Кошелева Анна Арсеньевна","от 17.12.2016 № 2500-к",gaejee@lycos.com,9218645583,внебюджет,205,Зачислен,1
"Калинин Сергей Альбертович","от 13.8.2017 № 2538-к",dyit@hotbox.ru,9295826243,внебюджет,173,Выпустился,5
"Русаков Николай Демьянович","от 18.5.2017 № 2501-к",diech@narod.ru,9858864223,бюджет,215,Отчислен,3
"Абрамова Фаина Мэлоровна","от 27.4.2016 № 2538-к",gevjaquyt@rambler.ru,9636060175,внебюджет,196,Зачислен,1
"Сазонова Иванна Олеговна","от 15.7.2017 № 2701-к",gjisyoshjazh@netbox.com,9005734355,бюджет,235,Выпустился,5
"Новиков Фрол Денисович","от 27.8.2017 № 2500-к",jyizhjedou@narod.ru,9300875703,внебюджет,172,Выпустился,5
"Никифоров Юрий Аркадьевич","от 4.2.2017 № 2501-к",njilyij@hob.ru,9042887421,внебюджет,248,Переведён,4
"Зуева Нинель Ефимовна","от 20.12.2017 № 2701-к",gyatheethae@smtp.ru,9525043520,внебюджет,214,Переведён,4
"Брагин Ярослав Никитевич","от 16.12.2017 № 2701-к",shjoju@netman.ru,9270322771,бюджет,202,Выпустился,5
"Кудряшова Регина Дмитрьевна","от 5.7.2017 № 2701-к",hudoqu@email.ru,9263491700,внебюджет,202,Отчислен,4
"Горбунов Яков Игоревич","от 6.9.2017 № 2538-к",houfye@infobiz.com,9994408423,внебюджет,171,Зачислен,1
"Капустина Марина Ильяовна","от 27.3.2016 № 2501-к",pupjez@lycos.com,9852615946,внебюджет,250,Переведён,2
"Агафонова Ирина Германновна","от 15.3.2017 № 2500-к",gyx@nettaxi.com,9187292247,бюджет,226,Зачислен,1
"Белов Денис Протасьевич","от 15.5.2016 № 2500-к",feegjot@usa.net,9370037377,бюджет,198,Отчислен,3
"Шаров Богдан Юрьевич","от 4.5.2016 № 2500-к",thutyasyg@newmail.ru,9852912705,внебюджет,207,Переведён,3
"Михеев Варлам Фролович","от 9.5.2016 № 2538-к",rjucaetja@google.com,9214405880,внебюджет,247,Выпустился,5
"Блохин Руслан Федосеевич","от 24.3.2017 № 2501-к",kjizie@orc.ru,9177716198,внебюджет,222,Переведён,3
"Белова Олимпиада Валентиновна","от 12.4.2016 № 2538-к",kyijya@usa.net,9538008087,бюджет,221,Переведён,4
"Кириллова Евгения Вадимовна","от 23.5.2017 № 2501-к",vioriuqu@adelite.com,9005011419,бюджет,231,Зачислен,1
"Веселов Виталий Куприянович","от 7.2.2016 № 2500-к",kyozhje@lycos.com,9137010711,внебюджет,215,Отчислен,3
"Симонова Агата Кондратовна","от 20.1.2017 № 2501-к",qujatje@max.ru,9602476586,бюджет,193,Выпустился,5
"Бобров Геласий Серапионович","от 22.12.2017 № 2538-к",kaequia@narod.ru,9064122558,бюджет,151,Выпустился,5
"Константинова Наина Авдеевна","от 4.4.2016 № 2501-к",hyutigiup@max.ru,9229378566,бюджет,189,Зачислен,1
"Борисова Ульяна Никитевна","от 17.12.2016 № 2501-к",xeziucju@lycos.com,9514949062,внебюджет,188,Выпустился,5
"Фокина Иванна Варламовна","от 18.4.2017 № 2501-к",thiok_1998@langoo.com,9500811011,бюджет,208,Выпустился,5
"Сысоев Ефим Святославович","от 20.7.2017 № 2701-к",ziod@land.ru,9117596884,внебюджет,194,Переведён,2
"Дьячков Демьян Мэлсович","от 12.11.2016 № 2538-к",thiatif@list.ru,9780638109,бюджет,170,Отчислен,2
"Гришин Лукьян Авдеевич","от 9.7.2017 № 2500-к",reque@inbox.ru,9145185646,внебюджет,189,Выпустился,5
"Селиверстова София Богдановна","от 9.2.2016 № 2701-к",zhitysch@narod.ru,9168549394,внебюджет,240,Выпустился,5
"Сорокин Евсей Парфеньевич","от 26.6.2017 № 2701-к",giep@yahoo.com,9207621826,бюджет,177,Отчислен,3
"Гурьев Агафон Протасьевич","от 20.10.2016 № 2701-к",choolee@smtp.ru,9133694257,бюджет,157,Зачислен,1
"Анисимов Константин Григорьевич","от 17.1.2017 № 2500-к",bonee@sexnarod.ru,9535262523,бюджет,240,Зачислен,1
"Ковалёв Валерьян Мэлорович","от 18.4.2017 № 2500-к",nefyo_1984@orc.ru,9153147121,бюджет,215,Отчислен,4
"Сорокин Кондрат Анатольевич","от 15.8.2017 № 2701-к",deegyi@land.ru,9684897541,бюджет,181,Зачислен,1
"Беспалов Евсей Владиславович","от 21.9.2017 № 2501-к",xubon@aol.com,9158462749,внебюджет,245,Переведён,2
"Андреев Геннадий Иванович","от 17.12.2016 № 2538-к",chyfou@list.ru,9637440046,бюджет,166,Выпустился,5
"Гущин Александр Мстиславович","от 12.7.2017 № 2501-к",theedyavyoch@google.com,9266584244,внебюджет,217,Переведён,4
"Евдокимова Кира Донатовна","от 20.6.2016 № 2701-к",thyikieshooth@orc.ru,9297814141,бюджет,245,Отчислен,2
"Нестерова Жанна Серапионовна","от 18.8.2017 № 2500-к",sufjupio@rin.ru,9197207562,бюджет,213,Отчислен,2
"Щукина Полина Иринеевна","от 4.12.2017 № 2538-к",jaeschieschoo@rumail.ru,9196516575,внебюджет,175,Зачислен,1
"Кириллова Валерия Ярославовна","от 21.8.2016 № 2538-к",gjuthoo@google.com,9241446261,внебюджет,245,Зачислен,1
"Мельникова Таисия Пантелеймоновна","от 16.11.2017 № 2538-к",syipioried@max.ru,9140963971,бюджет,239,Переведён,2
"Мамонтов Арсений Всеволодович","от 2.9.2017 № 2500-к",musyth@infobiz.com,9005672920,внебюджет,246,Зачислен,1
"Абрамов Донат Агафонович","от 24.8.2016 № 2501-к",bjashiomok@newmail.ru,9506352989,бюджет,162,Переведён,2
"Шилов Валерьян Парфеньевич","от 8.7.2016 № 2500-к",zjocher@netman.ru,9117275710,бюджет,176,Переведён,3
"Якушев Донат Глебович","от 9.1.2016 № 2701-к",ditia@hotbox.ru,9612308773,бюджет,245,Выпустился,5
"Красильников Георгий Созонович","от 17.6.2017 № 2538-к",tiegubyuth@pop3.ru,9063363397,внебюджет,172,Отчислен,2
"Белякова Майя Александровна","от 11.2.2016 № 2501-к",qujosjutyu@mail.ru,9377051510,бюджет,152,Переведён,2
"Сергеев Фёдор Варламович","от 30.3.2016 № 2500-к",sjuzid@mnogo.ru,9197761206,внебюджет,183,Переведён,2
"Никонов Лукьян Леонидович","от 7.1.2016 № 2538-к",schyaveevjak@sexnarod.ru,9094154368,внебюджет,237,Зачислен,1
"Фомина Синклитикия Мстиславовна","от 22.10.2017 № 2501-к",quopjethiaz@pop3.ru,9004561235,внебюджет,239,Переведён,4
"Фомин Лаврентий Алексеевич","от 24.3.2016 № 2701-к",ljuly@smtp.ru,9162590999,бюджет,198,Отчислен,4
"Макаров Борис Леонидович","от 19.8.2016 № 2500-к",maejye@langoo.com,9059278893,бюджет,161,Отчислен,3
"Котова Мария Владимировна","от 1.11.2016 № 2501-к",ryuzenjuj@adelite.com,9067562864,бюджет,219,Отчислен,4
"Трофимов Виктор Созонович","от 12.4.2016 № 2701-к",hyenyi@hob.ru,9881650280,внебюджет,213,Зачислен,1
"Журавлёва Юлия Ильяовна","от 2.1.2016 № 2500-к",ljuzhuv@rumail.ru,9195348703,внебюджет,199,Отчислен,3
"Костина Наталья Арсеньевна","от 5.10.2016 № 2701-к",schethjuput@email.ru,9628963838,бюджет,236,Переведён,3
"Панов Онисим Демьянович","от 16.5.2016 № 2501-к",ljuquji@max.ru,9195558808,внебюджет,249,Отчислен,3
"Михеев Онисим Германович","от 4.9.2016 № 2538-к",liuzjusie@langoo.com,9615420082,бюджет,217,Переведён,4
"Мишин Донат Аристархович","от 23.1.2017 № 2501-к",xiogiokaec@max.ru,9088848855,бюджет,222,Переведён,4
"Ефимова Ангелина Игоревна","от 12.12.2017 № 2501-к",njuzhjish@aol.com,9852109710,бюджет,249,Зачислен,1
"Петрова Эмилия Владимировна","от 3.5.2016 № 2501-к",vytja_1982@mnogo.ru,9825924914,бюджет,172,Зачислен,1
"Киселёв Валентин Святославович","от 10.8.2017 № 2538-к",schjidyo@infobiz.com,9002121252,бюджет,225,Зачислен,1
"Филатов Яков Серапионович","от 16.1.2017 № 2701-к",sybjoshae@hob.ru,9600260969,внебюджет,233,Зачислен,1
"Путин Алексей Дамирович","от 13.4.2017 № 2501-к",shiajyn@visto.com,9164614005,бюджет,186,Зачислен,1
"Бирюков Ефим Созонович","от 28.7.2017 № 2538-к",dooshyl@google.com,9320560596,бюджет,167,Зачислен,1
"Денисова Олимпиада Аркадьевна","от 2.9.2016 № 2501-к",schjunie@softhome.com,9613638816,бюджет,247,Зачислен,1
"Михеев Мартын Ярославович","от 28.11.2017 № 2500-к",mjotas@xaker.ru,9324167347,бюджет,229,Переведён,4
"Субботина Нонна Созоновна","от 30.4.2016 № 2538-к",shieh@rambler.ru,9520974993,внебюджет,238,Отчислен,2
"Тимофеева Валентина Ильяовна","от 12.3.2017 № 2501-к",ziepu@rin.ru,9229526242,бюджет,215,Выпустился,5
"Быков Павел Лаврентьевич","от 28.2.2016 № 2538-к",shyokyamja@infobiz.com,9169574434,внебюджет,235,Отчислен,4
"Селиверстов Андрей Сергеевич","от 29.3.2016 № 2701-к",qujoliopje@umr.ru,9532347179,внебюджет,170,Отчислен,4
"Фролов Вячеслав Константинович","от 22.2.2017 № 2501-к",jiushjifju@nettaxi.com,9224322198,внебюджет,201,Выпустился,5
"Соловьёва Оксана Кондратовна","от 26.6.2017 № 2701-к",miosjo@narod.ru,9247682040,внебюджет,169,Отчислен,2
"Уварова Нина Павловна","от 4.6.2016 № 2538-к",byagyelu@yahoo.com,9140542198,бюджет,202,Отчислен,4
"Калинина Евгения Онисимовна","от 20.9.2016 № 2500-к",hyokye@xaker.ru,9513184899,внебюджет,198,Выпустился,5
"Титов Антонин Алексеевич","от 15.11.2016 № 2538-к",queequjesyu@netaddress.com,9292516209,бюджет,244,Переведён,2
"Дмитриева Акулина Тихоновна","от 1.12.2017 № 2538-к",gimupaeb@rin.ru,9685622063,бюджет,185,Переведён,3
"Бобров Яков Борисович","от 3.12.2016 № 2701-к",rjelo@nettaxi.com,9250413335,бюджет,181,Отчислен,4
"Ковалёва Надежда Витальевна","от 18.9.2016 № 2701-к",mooc@newmail.ru,9144482386,бюджет,247,Выпустился,5
"Кулагин Ириней Николаевич","от 16.7.2017 № 2501-к",cheemiu@umr.ru,9061261553,внебюджет,239,Выпустился,5
"Журавлёв Евсей Валентинович","от 29.1.2017 № 2701-к",caecju@smtp.ru,9162766143,внебюджет,190,Выпустился,5
"Осипов Фёдор Семёнович","от 14.9.2017 № 2501-к",cadoujyer@rambler.ru,9286809732,внебюджет,178,Переведён,4
"Бирюков Ярослав Аркадьевич","от 24.11.2017 № 2538-к",chyaxjivu@yandex.ru,9500884348,внебюджет,165,Выпустился,5
"Щербаков Роман Евгеньевич","от 16.4.2016 № 2701-к",xyulyezo@orc.ru,9633199819,внебюджет,167,Выпустился,5
"Исакова Елена Лукьевна","от 10.10.2017 № 2501-к",ryujytja@hotbox.ru,9680414520,бюджет,179,Переведён,2
"Куликова Нина Андреевна","от 4.7.2017 № 2701-к",potiejath@netman.ru,9279725783,бюджет,200,Выпустился,5
"Цветков Владислав Аристархович","от 3.11.2017 № 2501-к",theeschjuv@aol.com,9026306455,бюджет,224,Зачислен,1
"Михайлов Руслан Антонович","от 15.12.2017 № 2538-к",gookoopjel@hob.ru,9533803761,бюджет,184,Выпустился,5
"Матвеева Мария Данииловна","от 9.2.2017 № 2701-к",tjithyetie@chat.ru,9283417462,внебюджет,234,Переведён,2
"Хохлов Даниил Аркадьевич","от 28.8.2017 № 2701-к",fagyashyo@email.ru,9280305847,бюджет,166,Зачислен,1
"Егоров Станислав Созонович","от 20.8.2016 № 2501-к",vietyaquij@hotbox.ru,9618694161,внебюджет,244,Выпустился,5
"Емельянова Елизавета Романовна","от 9.5.2016 № 2701-к",quiethoum@max.ru,9192153371,внебюджет,206,Зачислен,1
"Марков Иван Пётрович","от 28.6.2017 № 2538-к",queschjezh@rol.ru,9827966516,внебюджет,159,Отчислен,3
"Воронова Тамара Мартыновна","от 22.1.2016 № 2501-к",ljunya@hob.ru,9222080738,бюджет,162,Выпустился,5
"Стрелков Митрофан Святославович","от 29.10.2017 № 2538-к",gyomyasje@rin.ru,9313671316,бюджет,240,Зачислен,1
"Лобанов Христофор Антонович","от 14.12.2016 № 2500-к",pjeschjuh@land.ru,9887280752,внебюджет,188,Выпустился,5
"Кабанова Зинаида Никитевна","от 20.1.2016 № 2538-к",diuchi@email.ru,9521174989,бюджет,241,Переведён,3
"Носова Марина Леонидовна","от 25.8.2016 № 2500-к",loufiequyi@netaddress.com,9223563508,внебюджет,210,Зачислен,1
"Рожков Валерий Лукьевич","от 4.2.2017 № 2538-к",fjuv@netaddress.com,9852451426,внебюджет,231,Переведён,2
"Никифорова Вероника Витальевна","от 12.11.2017 № 2538-к",gaezyo@hotbox.com,9674568854,внебюджет,180,Переведён,2
"Рыбакова Тамара Борисовна","от 13.2.2016 № 2501-к",thyej@rumail.ru,9636283633,бюджет,181,Выпустился,5
"Тимофеев Святослав Германович","от 28.6.2017 № 2538-к",piho@yahoo.com,9308979332,бюджет,160,Выпустился,5
"Михайлова Кира Германновна","от 4.3.2017 № 2500-к",laeze@netman.ru,9197509262,внебюджет,236,Переведён,3
"Красильников Евгений Парфеньевич","от 26.7.2016 № 2500-к",njukurje@max.ru,9374653745,бюджет,164,Выпустился,5
"Овчинников Георгий Кондратович","от 13.5.2017 № 2538-к",chyemyo@hotbox.com,9126184729,бюджет,195,Зачислен,1
"Веселова Екатерина Игоревна","от 17.1.2017 № 2701-к",zhashooryu@lycos.com,9220177316,внебюджет,221,Переведён,4
"Котов Михаил Мэлсович","от 4.8.2017 № 2701-к",xyomjofyo@langoo.com,9378405331,бюджет,175,Отчислен,4
"Кудрявцев Владимир Яковович","от 16.11.2017 № 2501-к",xjopu@pop3.ru,9096458523,внебюджет,197,Переведён,4
"Гурьев Андрей Иринеевич","от 30.5.2017 № 2538-к",piryomja@mail.ru,9091552331,бюджет,250,Выпустился,5
"Коновалов Михаил Матвеевич","от 13.5.2016 № 2538-к",gyiciezh@mail.ru,9647777777,бюджет,233,Выпустился,5
"Горбачёва Марина Авксентьевна","от 6.6.2017 № 2538-к",hjovyukaex@hotbox.ru,9876740301,бюджет,216,Переведён,3
"Брагин Виталий Христофорович","от 29.1.2017 № 2701-к",kjadi@google.com,9601337228,внебюджет,163,Выпустился,5
